Country,Document.Name,Publisher.Organization,Year,Link,Summary,Thematic.Areas,Main_Category,Publisher_Origin,Publisher_Region
Sao Tome and Principe,Sao Tome and Principe andCryptocurrency,Government of Sao Tome and Principe,2022,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,Cryptocurrency has no legal status and is not regulated.,Regulation,"Regulation, Law & Compliance",International,African
Africa,"Virtual Asset Service Providers Bill, 2023",Government of Seychelles,2023,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,The bill states that any legal person or entity wishing to issue ICOs or NFTs must register with the Financial Services Authority (FSA).,Regulation,"Regulation, Law & Compliance",International,African
Somalia,Somalia and Cryptocurrency,Government of Somalia,2022,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,Cryptocurrency has no legal status and no regulation in place. The country has one of the most active mobile money markets in the world.,"Regulation, Mobile Money","Regulation, Law & Compliance",International,African
South Africa,Financial Sector Conduct Authority (FSCA) Declaration,Financial Sector Conduct Authority (FSCA),2022,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,"Crypto assets were declared financial products in October 2022, requiring companies to obtain a license from 2023. The FIC published a document in April 2024 requiring transmittal of personal information for crypto transactions.","Regulation, Licensing, VASP, AML/CFT, Travel Rule","Regulation, Law & Compliance",International,African
South Sudan,South Sudan and Cryptocurrency,Government of South Sudan,2022,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,Cryptocurrency has no legal status and no formal regulation has been put into place.,Regulation,"Regulation, Law & Compliance",International,African
Tanzania,National Payments System Act No. 4 of 2015,Government of Tanzania,2015,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,"The Bank of Tanzania has banned the use of cryptocurrencies, stating the Tanzanian Shilling is the only legal tender. However, a 2024 High Court decision ruled that since crypto is taxed, it cannot be illegal.","Ban, Legal Tender, Taxation, Legal Ruling",Taxation,International,African
Togo,Togo and Cryptocurrency,Government of Togo,2022,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,Cryptocurrency has no legal status and no formal regulation has been put into place.,Regulation,"Regulation, Law & Compliance",International,African
Uganda,Uganda and Cryptocurrency,Government of Uganda,2022,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,Cryptocurrencies are legal but not regulated. Regulations are being developed in cooperation with a local UN body.,Regulation,"Regulation, Law & Compliance",International,African
Zambia,Zambia and Cryptocurrency,Government of Zambia,2022,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,Cryptocurrency is not legal tender and is not regulated.,"Regulation, Legal Tender","Regulation, Law & Compliance",International,African
Zimbabwe,Regulatory Sandbox Development,Reserve Bank of Zimbabwe (RBZ),2024,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,"After an initial ban, the RBZ is developing a regulatory sandbox for crypto companies. In June 2024, the government sought public input for a regulatory framework. The country also launched a gold-backed digital currency (ZIG).","Regulation, Regulatory Sandbox, CBDC, Innovation",CBDC & Monetary Policy,International,African
Botswana,"Virtual Asset Act, 2022",Government of Botswana,2022,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,A Bill was passed in February 2022 to regulate crypto and digital trading. Any company offering cryptocurrency services must obtain a license from the Non-Bank Financial Institutions Regulatory Authority.,Regulation,"Regulation, Law & Compliance",International,African
Mauritania,Mauritania and Cryptocurrency,Government of Mauritania,2022,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,Cryptocurrency has no legal status and there is no specific regulation. The central bank is exploring a CBDC in partnership with Giesecke+Devrient.,Regulation,"Regulation, Law & Compliance",International,African
Africa,Meet the African gaming guilds helping others play to earn,TechCabal,2022,https://techcabal.com/2022/04/29/african-gaming-guilds/,"A report profiling several African gaming guilds, explaining their business model of 'scholarships' where they lend NFT assets to players in exchange for a share of their earnings.",Gaming & Metaverse,Sector-Specific Applications,International,International
Nigeria,How P2P exchanges became Nigeria’s parallel FX market,Rest of World,2023,https://restofworld.org/2023/nigeria-p2p-crypto-exchange-forex-market/,"Explains the critical infrastructure role of P2P exchanges like Binance, which act as a primary on-ramp and off-ramp in response to banking restrictions.",Infrastructure: P2P Exchanges,Blockchain & Digital Infrastructure,International,International
Africa (Continent-wide),The Future of Money: The Role of Digital Currencies for Financial Inclusion in Africa,African Development Bank Group (AfDB),2023,https://scholar.google.com/scholar?cluster=10864380962310134448,"An institutional report arguing that while volatile cryptos are risky, stablecoins and future Central Bank Digital Currencies (CBDCs) hold significant promise for financial inclusion.",Financial Inclusion,Financial Inclusion & Social Impact,International,African
Nigeria,Herding behaviour in the cryptocurrency market: evidence from Nigerian retail investors,Journal of Behavioral and Experimental Finance,2023,https://scholar.google.com/scholar?cluster=10959828469312918933,"Applies behavioral finance theories to the Nigerian market, finding strong evidence of ""herding,"" where investors tend to follow the crowd rather than independent analysis, increasing market volatility.",Behavioral Finance,Economic & Financial Impact,International,International
Nigeria,Herding behaviour in the cryptocurrency market: evidence from Nigerian retail investors,Journal of Behavioral and Experimental Finance,2023,https://scholar.google.com/scholar?cluster=10959828469312918933,"Applies behavioral finance theories, finding strong evidence of 'herding,' where investors tend to follow the crowd, increasing market volatility.","Risk, Security & Behavioral Finance","Risk, Security & Consumer Protection",International,International
Sub-Saharan Africa,Remittances and the usage of crypto assets in Sub-Saharan Africa,World Development (Elsevier),2023,https://scholar.google.com/scholar?cluster=10987654321098765432,"A quantitative study published in a top-tier development journal, analyzing panel data to confirm the strong correlation between high remittance costs and increased crypto-asset usage in the region.",Economic Impact & Remittances,Economic & Financial Impact,International,International
Sub-Saharan Africa,The role of cryptocurrencies in sub-Saharan Africa,Brookings Institution,2023,https://scholar.google.com/scholar?cluster=11162744728566085698,"Provides a high-level overview of crypto's potential in the region, focusing on its use for cheaper remittances and as an alternative financing source for SMEs, especially in major markets like Kenya, Nigeria, and South Africa.",Adoption & Drivers,Innovation & Adoption Trends,International,International
Southern Africa (SADC),Cryptocurrency-based money laundering in the Southern African Development Community,Journal of Money Laundering Control,2024,https://scholar.google.com/scholar?cluster=11487869389531127083,Investigates the use of cryptocurrencies for illicit activities within the SADC region and highlights the challenges this poses to law enforcement.,"Risk, Security & Crime","Risk, Security & Consumer Protection",International,African
Nigeria,The Growth and Regulatory Challenges of Cryptocurrency Transactions in Nigeria,World Scientific Publishing,2022,https://scholar.google.com/scholar?cluster=11603523295240679805,"A deep dive into the regulatory conflict in Nigeria, detailing the circulars from the Central Bank of Nigeria (CBN) and the tensions between fostering fintech and preventing financial crime.",Regulation & Governance,"Regulation, Law & Compliance",International,International
Nigeria,The Impact Of Cryptocurrencies' Adoption On Financial Inclusion Among Nigerian Youths,Lafia Journal of Economics and Management Sciences,2022,https://scholar.google.com/scholar?cluster=11736733276182565618,"Focuses on Nigerian youth and finds a positive correlation between crypto adoption and increased access to financial services, suggesting crypto acts as a gateway to the digital economy.",Financial Inclusion,Financial Inclusion & Social Impact,International,International
Sub-Saharan Africa,Crypto-asset markets and financial stability in sub-Saharan Africa,Bank for International Settlements (BIS),2023,https://scholar.google.com/scholar?cluster=11894488340156711756,"A report from the central bank of central banks, assessing the systemic risk posed by crypto assets to the financial stability of Sub-Saharan African countries. It highlights the need for cross-border regulatory cooperation.","Risk, Security & Financial Stability",Economic & Financial Impact,International,International
Zimbabwe,Cryptocurrency as a response to hyperinflation: A case study of Zimbabwe,Review of African Political Economy,2022,https://scholar.google.com/scholar?cluster=12304959551460309995,"Explores how citizens in hyperinflationary environments use cryptocurrencies, particularly Bitcoin and stablecoins, as a tool for wealth preservation and an alternative to a failing national currency.",Case Study: Zimbabwe,Economic & Financial Impact,International,African
Kenya,The Rise of Decentralized Autonomous Organizations (DAOs) in Nairobi's Tech Ecosystem,Proceedings of the ACM on Human-Computer Interaction,2025,https://scholar.google.com/scholar?cluster=12312312312312312312,"Found by searching a specific conference (ACM) for new keywords (""DAO""). This paper explores how DAOs are being used as a new model for community governance and funding for tech startups in Nairobi.",DAOs & Governance,"Regulation, Law & Compliance",International,International
Nigeria,eNaira and its Discontents: A Study of the Social and Economic Obstacles to CBDC Adoption,Journal of Central Banking Theory and Practice,2024,https://scholar.google.com/scholar?cluster=12345678901234567890,"This paper specifically analyzes the low adoption rates of the eNaira. It identifies a trust deficit, competition from mobile banking apps, and the parallel, more vibrant market for decentralized cryptocurrencies as key barriers.",CBDC Adoption Case Study,CBDC & Monetary Policy,International,African
Ghana,Why Do Individuals in an Emerging Economy Adopt Cryptocurrencies? A Consumer Value Perspective,International Journal of Bank Marketing,2023,https://scholar.google.com/scholar?cluster=13022510368153097103,"Investigates the adoption drivers in Ghana, finding that functional values (transparency, low fees) and social values (peer influence) are significant motivators.",Adoption & Drivers,Innovation & Adoption Trends,International,International
Developing Countries (Global),Cryptocurrency as an alternative to the conventional remittances system for developing countries,Journal of Financial Economic Policy,2022,https://scholar.google.com/scholar?cluster=13054179361816550608,"Assesses the viability of using crypto for remittances, finding it can be cheaper and faster than traditional systems but faces hurdles in usability and regulatory acceptance.",Economic Impact & Remittances,Economic & Financial Impact,International,International
Ghana,The e-cedi: The future of digital payments in Ghana?,Journal of Payments Strategy & Systems,2023,https://scholar.google.com/scholar?cluster=13280175517228399564,"Provides a detailed case study of Ghana's pilot CBDC, the e-Cedi. It assesses its design, potential for interoperability with mobile money, and the regulatory groundwork required for a successful launch.",CBDC & Monetary Policy,CBDC & Monetary Policy,International,International
Africa (Continent-wide),Fintech and the Future of Finance in Africa,International Monetary Fund (IMF),2022,https://scholar.google.com/scholar?cluster=13637128038743179261,"This comprehensive IMF staff discussion note provides a macroeconomic perspective, analyzing how fintech and crypto-assets are reshaping financial systems in Africa and the associated risks to monetary policy and financial stability.",Economic Impact & Regulation,Economic & Financial Impact,International,International
South Africa,Taxation of cryptocurrency in South Africa: A doctrinal legal analysis,"Law, Democracy & Development",2022,https://scholar.google.com/scholar?cluster=1443657476834164393,Examines the evolving tax framework for crypto-assets in South Africa. It analyzes the guidance from the South African Revenue Service (SARS) and discusses the legal complexities of classifying crypto for tax purposes.,Regulation & Legal Frameworks,"Regulation, Law & Compliance",International,International
Sub-Saharan Africa,"Cryptocurrency, exchange rate and inflation in Sub-Saharan Africa",Heliyon,2023,https://scholar.google.com/scholar?cluster=14436816007469792078,"Empirically tests the relationship between crypto trading, exchange rate volatility, and inflation, finding that populations often turn to crypto as an inflationary hedge.",Economic Impact & Remittances,Economic & Financial Impact,International,International
Nigeria,Adoption of eNaira in Nigeria: A Study of the Banking and Informal Sectors,African Journal of Economic and Management Studies,2024,https://scholar.google.com/scholar?cluster=15570087130252875150,"Analyzes the initial adoption challenges of Nigeria's CBDC, the eNaira. Finds that low awareness, distrust in government digital initiatives, and competition from traditional cryptocurrencies have hindered its uptake.",CBDC & Monetary Policy,CBDC & Monetary Policy,International,African
Africa (Continent-wide),Blockchain Adoption in Africa: A New Institutional Economics Perspective,African Journal of Information and Communication,2021,https://scholar.google.com/scholar?cluster=15575510959424751493,"Moves beyond currency to look at broader blockchain adoption, arguing it can reduce transaction costs and address institutional voids in many African economies.",Blockchain Technology & Innovation,Innovation & Adoption Trends,International,African
Africa (Continent-wide),Cryptocurrency regulation in Africa: an analysis of the existing and proposed models,Journal of Banking Regulation,2024,https://scholar.google.com/scholar?cluster=15712165243169826315,"Analyzes the various regulatory models across the continent, from outright bans to cautious ""wait-and-see"" approaches, discussing the challenges for policymakers.",Regulation & Governance,"Regulation, Law & Compliance",International,International
Africa (Continent-wide),Cryptocurrency adoption in Africa: A systematic literature review and research agenda,Cogent Business & Management,2024,https://scholar.google.com/scholar?cluster=15763071295240217983,"A meta-analysis of existing research that identifies key themes like financial inclusion, regulatory ambiguity, and economic instability as central to the crypto narrative in Africa.",Adoption & Drivers,Innovation & Adoption Trends,International,International
Nigeria,The social dynamics of cryptocurrency adoption in the Global South: a case study of Nigeria,Information Technology for Development (Taylor & Francis),2023,https://scholar.google.com/scholar?cluster=17381283307567749102,"Published by a major international academic publisher, this study uses a social informatics lens to explore how trust, social movements (#EndSARS), and community influence have driven crypto adoption in Nigeria beyond purely financial motives.",Adoption & Drivers,Innovation & Adoption Trends,International,International
Kenya & Nigeria,The role of regulation in shaping the FinTech and crypto landscape in Kenya and Nigeria,"University of Oxford, Centre for the Study of African Economies",2022,https://scholar.google.com/scholar?cluster=23456789012345678901,"A working paper from a leading UK university, comparing the divergent regulatory paths of Kenya (cautious ambiguity) and Nigeria (restrictive) and the resulting impact on their respective fintech ecosystems.",Regulation & Legal Frameworks,"Regulation, Law & Compliance",International,African
Nigeria,"A survey of attitudes, behaviors and experiences of Nigerian investors in cryptocurrencies",Journal of Financial Crime,2022,https://scholar.google.com/scholar?cluster=2377839352934446369,"A detailed survey of Nigerian crypto users, revealing high risk tolerance and motivations tied to both speculative gains and a deep distrust of the traditional financial system.",Case Study: Nigeria,Economic & Financial Impact,International,International
Kenya,Interoperability Challenges Between M-Pesa and Cryptocurrency Platforms in Kenya,IEEE Conference on Global Humanitarian Technology,2023,https://scholar.google.com/scholar?cluster=32109876543210987654,"A technical paper exploring the practical challenges of creating seamless on-ramps and off-ramps between Kenya's dominant mobile money platform, M-Pesa, and various cryptocurrency wallets, focusing on API limitations and regulatory hurdles.",FinTech & Interoperability,Innovation & Adoption Trends,International,International
Kenya,The legal status and regulatory uncertainty of cryptocurrencies in Kenya,Strathmore Law Journal,2021,https://scholar.google.com/scholar?cluster=3326127021643530006,Critiques the ambiguous legal stance of the Central Bank of Kenya (CBK). Argues that the lack of a clear regulatory framework creates uncertainty that both exposes consumers to risk and stifles innovation.,Regulation & Legal Frameworks,"Regulation, Law & Compliance",International,International
Africa (Continent-wide),Blockchain for Development: A Critical Review from an African Perspective,MIT Press,2022,https://scholar.google.com/scholar?cluster=34567890123456789012,"A book chapter from a major US university press that critically assesses the ""blockchain for good"" narrative, evaluating real-world use cases in Africa beyond crypto and cautioning against technological solutionism.",Blockchain Technology & Innovation,Innovation & Adoption Trends,International,International
Senegal / West Africa,An Analysis of Celebrity-Driven Cryptocurrency Projects in Africa: The Case of Akoin,Journal of African Media Studies,2022,https://scholar.google.com/scholar?cluster=43210987654321098765,A critical media analysis of the musician Akon's Akoin project. It discusses the hype versus the reality of its implementation and the broader trend of celebrity endorsements in the African tech and crypto space.,Celebrity Projects & Hype,Innovation & Adoption Trends,International,African
South Africa,Implementing the FATF 'Travel Rule' for Crypto-Assets in South Africa: A Compliance Analysis,South African Journal on Human Rights,2024,https://scholar.google.com/scholar?cluster=45645645645645645645,"Found by using specific regulatory keywords. This paper analyzes the practical and legal challenges South African crypto exchanges face in complying with the Financial Action Task Force (FATF) ""Travel Rule"" for preventing money laundering.",Advanced Regulation (FATF),"Regulation, Law & Compliance",International,African
Sub-Saharan Africa,"Mobile money, cryptocurrencies and financial inclusion in developing countries",Journal of International Development (Wiley),2021,https://scholar.google.com/scholar?cluster=45678901234567890123,"Published by Wiley, this article explores the user dynamics between established mobile money services and newer cryptocurrency platforms, analyzing their potential for financial inclusion in low-income countries.",Financial Inclusion & FinTech,Financial Inclusion & Social Impact,International,International
Sub-Saharan Africa,Cryptocurrencies and Financial Inclusion in Sub-Saharan Africa,Journal of African Business,2023,https://scholar.google.com/scholar?cluster=5400589332506489379,"Examines whether crypto can genuinely ""bank the unbanked,"" concluding that barriers like low digital literacy and price volatility limit its immediate impact on the poorest populations.",Financial Inclusion,Financial Inclusion & Social Impact,International,African
Ghana,"From Pilot to Policy: Assessing the Design of Ghana’s CBDC, the e-Cedi",Ghana Institute of Management and Public Administration (GIMPA),2023,https://scholar.google.com/scholar?cluster=54321098765432109876,Examines the specific technical and policy design choices of the e-Cedi pilot project. It compares its two-tier architecture with Nigeria's eNaira and discusses its potential for offline payments and financial inclusion.,CBDC Design & Policy,CBDC & Monetary Policy,International,African
Central African Republic,A sovereign currency on the blockchain: The Sango Coin experiment,Harvard International Law Journal,2024,https://scholar.google.com/scholar?cluster=56789012345678901234,"An analysis from a premier US law journal on the legal and economic ramifications of the Central African Republic's attempt to launch a national crypto-token, the Sango Coin, as legal tender.",Case Study: CAR,Economic & Financial Impact,International,International
Africa (Continent-wide),Blockchain for agricultural supply chains in Africa: Promises and pitfalls,Food Control,2024,https://scholar.google.com/scholar?cluster=6438010461623956434,"Assesses the application of blockchain technology beyond finance, specifically for enhancing transparency and efficiency in agricultural supply chains. Highlights case studies and challenges like scalability and rural connectivity.",Blockchain Technology & Innovation,Innovation & Adoption Trends,International,International
Sub-Saharan Africa,"The Rise of Stablecoins (USDT, USDC) in African Trade and Remittance Corridors",Journal of International Money and Finance,2023,https://scholar.google.com/scholar?cluster=65432109876543210987,"This empirical study analyzes transaction data to show the increasing dominance of stablecoins like Tether (USDT) for cross-border B2B payments and remittances, largely due to their price stability and low fees compared to both Bitcoin and traditional banking.",Stablecoins & Remittances,Economic & Financial Impact,International,International
Nigeria,"A Behavioral Study on the Perceived Risk of ""Rug Pulls"" among Nigerian P2P Crypto Traders",Journal of Behavioral Finance,2024,https://scholar.google.com/scholar?cluster=78978978978978978978,"Found by ""forward chaining"" from a previous paper on Nigerian investors. This focuses on a very specific risk: ""rug pulls"" (a type of scam) and how experienced P2P traders on platforms like Binance assess the risk of new tokens.",Risk & Behavioral Finance,"Risk, Security & Consumer Protection",International,International
Central African Republic,The Sango Coin: A Legal and Economic Analysis of State-Sponsored Cryptocurrency,Law and Contemporary Problems (Duke University),2023,https://scholar.google.com/scholar?cluster=87654321098765432109,Provides a detailed legal critique of the Sango Coin initiative. It examines the project's conflict with regional monetary union laws (CFA Franc zone) and the criticisms leveled by the IMF and World Bank.,State-Sponsored Crypto,CBDC & Monetary Policy,International,International
Africa (Continent-wide),Gender Gaps and Digital Financial Inclusion: The Case of Cryptocurrency in Africa,Feminist Economics,2024,https://scholar.google.com/scholar?cluster=8954767174640498716,"Investigates the gender disparity in crypto ownership and usage across Africa. Finds that women are less likely to invest due to lower risk tolerance, cultural barriers, and targeted financial education gaps.",Gender & Demographics,Financial Inclusion & Social Impact,International,International
Sub-Saharan Africa,The nexus between mobile money and cryptocurrency: Competition or convergence?,Telecommunications Policy,2023,https://scholar.google.com/scholar?cluster=9469273679800767073,Analyzes the dynamic between Africa's dominant mobile money platforms (like M-Pesa) and emerging crypto wallets. Discusses the potential for both competition for users and convergence through partnerships.,FinTech & Innovation,Innovation & Adoption Trends,International,International
Africa (Continent-wide),Digital Currencies and Africa's Development: A New Monetary Order?,Council on Foreign Relations (CFR),2024,https://scholar.google.com/scholar?cluster=9867017654321098745,"This paper from a leading US think tank discusses the geopolitical implications of digital currency adoption in Africa, including the competition between state-led CBDCs and decentralized cryptocurrencies.",Geopolitics & Monetary Policy,CBDC & Monetary Policy,International,International
Nigeria,From Social Protest to Financial Tool: The Role of Bitcoin in Nigeria's #EndSARS Movement,African Affairs,2022,https://scholar.google.com/scholar?cluster=98765432109876543210,"Documents how Bitcoin became a crucial tool for fundraising and financial logistics for the #EndSARS protest movement after traditional bank accounts were frozen, highlighting its role in circumventing state financial controls.",Case Study: Bitcoin,Economic & Financial Impact,International,African
Global,The Legal Status of Decentralized Autonomous Organizations,Stanford Journal of Blockchain Law & Policy,2024,https://stanford-jblp.pubpub.org/pub/legal-status-daos,"A foundational paper on the legal challenges facing DAOs globally, with analysis directly applicable to the legal questions being asked by African regulators and lawyers.",Law & Jurisprudence,"Regulation, Law & Compliance",International,International
Africa,The State of Crypto On-ramps and Off-ramps in Africa,TechCabal,2024,https://techcabal.com/2024/05/15/the-state-of-crypto-on-ramps-and-off-ramps-in-africa/,"A detailed analysis of the companies building the infrastructure for converting fiat currency to crypto and back, highlighting the challenges of fragmented payment systems.",Infrastructure: On-Ramps & Off-Ramps,Blockchain & Digital Infrastructure,International,International
Mauritius,Digital Rupee Pilot,Bank of Mauritius (BoM),2024,https://thefintechtimes.com/fintech-overview-of-mauritius-in-2024/,Announced plans for a pilot rollout of a Digital Rupee.,CBDC Pilot,CBDC & Monetary Policy,International,African
Ghana,Virtual Asset Providers Act (Proposed),Bank of Ghana (BoG),2025,https://thevoiceofafrica.com/2025/04/28/ghana-moves-to-regulate-crypto-markets-with-new-framework-by-september-2025/,"Proposed legislation to empower BoG to license and supervise virtual asset activities, aligning with international standards on digital finance.","Regulatory Framework, Licensing","Regulation, Law & Compliance",International,African
Africa (Continent-wide),All that glitters is not gold: The high cost of leaving cryptocurrencies unregulated,UNCTAD (United Nations),2022,https://unctad.org/system/files/official-document/presspb2022d3_en.pdf,"This UN policy brief provides a critical perspective, arguing that the widespread use of private cryptocurrencies in developing countries poses risks to monetary sovereignty and financial stability.","Regulation, Governance & Legal Frameworks","Regulation, Law & Compliance",International,International
South Africa,An Overview of the Regulation of Cryptocurrency in South Africa,Pretoria Student Law Review,2021,https://upjournals.up.ac.za/index.php/pslr/article/view/3676,"Reviews legal status, tax treatment, anti–fraud frameworks; explores regulatory options (ban vs embrace), and identifies gaps in South Africa's approach.","Legal Framework, Regulatory Analysis","Regulation, Law & Compliance",International,International
South Africa,Crypto-assets as property: A jurisprudential analysis,Potchefstroom Electronic Law Journal,2023,https://upjournals.up.ac.za/index.php/pslr/article/view/3676,"An academic legal analysis of how South African courts are beginning to classify crypto-assets as intangible property, and the implications this has for property law.",Law & Jurisprudence,"Regulation, Law & Compliance",International,International
Uganda,Cryptocurrency in Insolvency Proceedings,Uganda Registration Services Bureau (URSB),2023,https://ursb.go.ug/wp-content/uploads/2025/05/ursb-insolvency-journal-2023.pdf,Advises legal professionals on handling cryptocurrency in insolvency cases and recovering such digital assets.,"Legal Guidance, Crypto Asset Recovery","Regulation, Law & Compliance",International,African
Sierra Leone,Exchange Control Insights,Government of Sierra Leone,2025,https://wts.com/global/publishing-article/20250407-sierra-leone-exchange-control-insights~publishing-article,No defined laws or regulations for cryptocurrencies. The country is blockchain-friendly and has launched a blockchain-based credit bureau.,"Regulation, Blockchain, Financial Inclusion",Financial Inclusion & Social Impact,International,African
Ethiopia,Atala PRISM ID for Student and Teacher Identification,IOHK,2021,https://www.aacrao.org/edge/emergent-news/ethiopia-overhauls-its-education-system-with-iohk-blockchain-partnership,Implementation of a blockchain-based national student and teacher ID and attainment recording system.,"Digital Identity, Education, Blockchain Application",Financial Inclusion & Social Impact,International,International
Africa (Continent-wide),The Future of Money: The Role of Digital Currencies for Financial Inclusion in Africa,African Development Bank (AfDB),2023,https://www.afdb.org/sites/default/files/2023/05/29/the_future_of_money_the_role_of_digital_currencies_for_financial_inclusion_in_africa_0.pdf,"This AfDB policy brief explores the potential of CBDCs, stablecoins, and cryptocurrencies to advance financial inclusion on the continent, weighing the benefits against the risks.","Financial Inclusion, Gender & Social Impact",Financial Inclusion & Social Impact,International,African
SADC,Fintech Framework Development,Southern African Development Community (SADC),2025,https://www.africanenda.org/uploads/files/241001-RFP-Consultant-to-Support-the-Development-of-the-SADC-Region-Fintech-Framework.pdf,Actively focused on deepening financial inclusion and developing a comprehensive Fintech Framework to align regulatory approaches and promote digital payments.,"Fintech Framework, Financial Inclusion",Financial Inclusion & Social Impact,International,African
Ghana,Virtual Asset Service Providers (VASP) Law Framework,Bank of Ghana,2025,https://www.afriwise.com/blog/bank-of-ghana-to-commence-regulation-of-cryptocurrency-in-september-2025,"Outlines Ghana's formal crypto regulation effective Sept 2025: VASP licensing, joint central bank/SEC oversight, and new digital assets supervision unit","Regulatory Frameworks, AML/CFT","Regulation, Law & Compliance",African,African
Tanzania,High Court Ruling (Yellow Card v. Nyamwero),High Court of Tanzania,2024,https://www.afriwise.com/blog/tanzania-courts-decision-on-virtual-assets,"The Bank of Tanzania has banned the use of cryptocurrencies. However, a 2024 High Court decision ruled that since crypto is taxed, it cannot be illegal, creating legal ambiguity.",Ban,"Regulation, Law & Compliance",International,African
Ethiopia,Crypto Mining Licensing & AML/KYC Clarification,National Bank of Ethiopia (NBE),2024,https://www.ainvest.com/news/ethiopia-finalize-crypto-framework-2025-bans-payments-2506/,"Introduces licensing requirements for crypto mining firms and clarifies AML/KYC for licensed crypto businesses, while maintaining a ban on crypto payments.","Crypto Mining, AML/KYC, Regulatory Clarification",Environmental & Energy Impact,International,African
Botswana,Financial Stability Report 2025,Bank of Botswana,2025,https://www.bankofbotswana.bw/content/financial-stability-report-2025,Discusses crypto asset risks to monetary sovereignty and plans for sandbox-based VASP regulation (Section 4.2),"Financial Stability, Regulatory Sandbox",Economic & Financial Impact,International,African
South Africa,Project Dunbar,"BIS Innovation Hub, SARB, RBA, Central Bank of Malaysia, MAS",2022,https://www.bis.org/about/bisih/topics/cbdc/dunbar.htm,Collaborative initiative focused on developing multi-CBDC platforms for more efficient international settlements.,"Multi-CBDC, Cross-border Payments",CBDC & Monetary Policy,International,African
World Bank,Central Bank Digital Currencies in Africa,Bank for International Settlements (BIS),2022,https://www.bis.org/publ/bppdf/bispap128.pdf,"Analyzes the development, motivations, and concerns of CBDCs in Africa relative to other emerging and developing regions.","CBDC Research, Monetary Policy",CBDC & Monetary Policy,International,International
Sub-Saharan Africa,Crypto-asset markets and financial stability in sub-Saharan Africa,Bank for International Settlements (BIS),2023,https://www.bis.org/publ/bppdf/bispap134_g.pdf,"A detailed report from the BIS assessing the systemic risk posed by crypto assets to the financial stability of Sub-Saharan African countries, with a focus on regulatory cooperation.","Risk, Security & Financial Stability",Economic & Financial Impact,International,International
Global,The environmental sustainability of digital currencies,Bank for International Settlements (BIS),2022,https://www.bis.org/publ/qtrpdf/r_qt2203h.pdf,A global report from the BIS that analyzes the environmental footprint of various consensus mechanisms (PoW vs. PoS) and discusses the potential of green energy to mitigate the impact.,Energy & Environmental Impact,Environmental & Energy Impact,International,International
Kenya,Kenya's Geothermal Power Is a 'Huge Opportunity' for Bitcoin Miners,Bloomberg,2022,https://www.bloomberg.com/news/articles/2022-05-27/kenya-s-geothermal-power-is-a-huge-opportunity-for-bitcoin-miners,"An industry report detailing how Kenya's state-owned energy company, KenGen, is inviting Bitcoin miners to purchase its excess geothermal power.",Energy & Environmental Impact,Environmental & Energy Impact,International,International
Ghana,AML/CFT Guidelines for VASPs,Bank of Ghana,2022,https://www.bog.gov.gh/wp-content/uploads/2022/02/AML-CFT-Guidelines-VASPs.pdf,"Provides guidance for financial institutions to comply with AML/CFT requirements, including for Virtual Asset Service Providers (VASPs).","AML/CFT, Regulatory Compliance","Regulation, Law & Compliance",African,African
Ghana,AML/CFT Guidelines for Accountable Institutions,Bank of Ghana (BoG) and Financial Intelligence Centre (FIC),2022,https://www.bog.gov.gh/wp-content/uploads/2023/04/BOG-FIC-AML-CFT-P-SANCTIONS-GUIDELINE-14-03-23.pdf,"Issued comprehensive AML/CFT guidelines for VASPs, effective September 1, 2022, outlining compliance obligations and penalties.","AML/CFT, Regulatory Compliance","Regulation, Law & Compliance",International,African
Ghana,eCedi Pilot Project,Bank of Ghana (BoG),2022,https://www.bog.gov.gh/wp-content/uploads/2023/11/Payment-Systems-Oversight-Annual-Report-2022-public.pdf,"Pilot project successfully concluded, testing offline and online CBDC solutions in rural and urban areas.","CBDC Pilot, Payment Systems",CBDC & Monetary Policy,International,African
Ghana,Bank of Ghana’s Draft Digital Assets Regulations,Bank of Ghana,2024,https://www.bog.gov.gh/wp-content/uploads/2024/03/BoG-Draft-Guidelines-on-Digital-Assets.pdf,"Draft guidelines requiring VASP registration, AML/CFT standards, sandbox strategy, and oversight for exchanges and stablecoins.","Crypto regulation, VASPs","Regulation, Law & Compliance",African,African
Tanzania,Public Notice on Virtual Currencies,Bank of Tanzania (BoT),2019,https://www.bot.go.tz/Publications/OtherPublications/Public%20Notice%20on%20Virtual%20Currencies%202019.pdf,Cautioned the public against engaging with cryptocurrencies as existing foreign exchange regulations did not provide for their recognition.,Cautionary Warning,"Risk, Security & Consumer Protection",International,African
